character,pinyin,meaning,frequency,level,verified
的,de,of; ~'s (possessive particle); used after an attribute; used to form a nominal expression,1.0,1.0,True
我,wǒ,I; me; my,2.0,1.0,True
你,nǐ,you,3.0,1.0,True
是,shì,to be (followed by substantives only); correct; right; true; very well,4.0,1.0,True
了,le,"completed action marker; modal particle indicating change of state, situation now; modal particle intensifying preceding clause",5.0,1.0,True
不,bù,no; not so; not; un-,6.0,1.0,True
在,zài,to exist; to be alive; to be (located) at; used before a verb to indicate an action in progress,7.0,1.0,True
他,tā,he; him (used for either sex when the sex is unknown or unimportant); used before sb's name for emphasis; used as a meaningless mock object,8.0,1.0,True
我们,wǒ men,we; us; ourselves,9.0,1.0,True
好,hǎo,good; appropriate; proper; all right!,10.0,1.0,True
有,yǒu,to have; there is; having; with; -ful; -ed; -al,11.0,1.0,True
这,zhè,"this; these; this; the (followed by a noun); this; these (followed by a classifier) (in this sense, commonly pr. [zhèi]",12.0,1.0,True
就,jiù,in that case; then; as soon as; immediately after; merely; nothing else but; simply; just; precisely; exactly,13.0,2.0,True
会,huì,can; to have the skill; to know how to; to be likely to; to be sure to; to meet; to get together,14.0,1.0,True
吗,ma,"question particle for ""yes-no"" questions",15.0,1.0,True
要,yào,to want; to need; to ask for; will; shall; about to; need to; should,16.0,2.0,True
什么,shén me,what?; something; anything,17.0,1.0,True
说,shuō,to speak; to talk; to say; to explain; to comment; to scold; to tell off,18.0,,True
她,tā,she,19.0,1.0,True
想,xiǎng,to think (about); to think of; to devise; to think (that); to believe (that),20.0,1.0,True
一,yī,one; single; a (article),21.0,1.0,True
很,hěn,adverb of degree; quite; very,22.0,1.0,True
知道,zhī dào,to know; to become aware of; also pr. [zhī dao],23.0,2.0,True
人,rén,person; people,24.0,1.0,True
吧,ba,modal particle indicating suggestion or surmise; ...right?; ...OK?,25.0,2.0,True
那,nà,"that; the; those (colloquial pr. [nèi]); that (referring to persons, things or situations); then (in that case)",26.0,1.0,True
来,lái,to come; used as a substitute for a more specific verb; hither,27.0,1.0,True
都,dōu,all; both; entirely; even; already,28.0,1.0,True
个,gè,classifier used before a noun that has no specific classifier; individual,29.0,1.0,True
能,néng,can; to be able to; might possibly,30.0,1.0,True
去,qù,to go; to go to (a place); last,31.0,1.0,True
没,méi,have not; not,32.0,1.0,True
和,hé,and; together with; with (Taiwan pr. [hàn]); sum; to make peace,33.0,1.0,True
他们,tā men,they; them,34.0,,True
到,dào,to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point),35.0,2.0,True
对,duì,right; correct; towards; at; for; concerning; regarding,36.0,4.0,True
也,yě,also; both ... and ... (before predicates only); particle having functions similar to,37.0,2.0,True
啊,a,"modal particle ending sentence, showing affirmation, approval, or consent",38.0,3.0,True
还,hái,still; still in progress; still more,39.0,2.0,True
把,bǎ,to hold; to grasp; to hold a baby in position to help it urinate or defecate; handlebar,40.0,3.0,True
让,ràng,to yield; to permit; to let sb do sth,41.0,2.0,True
做,zuò,to make; to produce; to write; to compose; to do; to engage in; to hold (a party etc),42.0,1.0,True
给,gěi,to; for; for the benefit of,43.0,2.0,True
一个,yī ge,"a; an; one; the whole (afternoon, summer vacation etc)",44.0,,True
上,shàng,up; upper; above; previous; first (of multiple parts); to climb; to get onto; to go up,45.0,1.0,True
你们,nǐ men,you (plural),46.0,,True
过,guò,to cross; to go over; to pass (time),47.0,4.0,True
没有,méi yǒu,haven't; hasn't; doesn't exist,48.0,,True
得,dé,to obtain; to get; to gain,49.0,2.0,True
看,kàn,to see; to look at; to read; to watch,50.0,1.0,True
真,zhēn,really; truly; indeed,51.0,2.0,True
着,zhe,aspect particle indicating action in progress or ongoing state,52.0,2.0,True
事,shì,matter; thing; item,53.0,,True
这个,zhè ge,this,54.0,,True
怎么,zěn me,how?; what?; why?,55.0,1.0,True
现在,xiàn zài,now; at present; at the moment,56.0,1.0,True
可以,kě yǐ,can; may; possible,57.0,2.0,True
点,diǎn,point; dot; drop,58.0,1.0,True
